General Area (State),General Area (City),Services Offered,Description,Marked for Cleaning,Distributor Name,lat,lng,Location,Distributor Contact (Phone)
Maharashtra,Solapur,Oxygen,Notes: Javed Manoj Gaikwad,,Arnichem Industries,17.6430471,75.9169501,"Industrial Estate Cooperative Office, Industrial Estate, Sainath Nagar, Solapur, Maharashtra 413224, India","['+917776823823', '+918484064940']"
Maharashtra,Solapur,Hospital Beds,Notes: Oxygen bed,True,Smc Control,17.669419,75.900457,,['+912172740341']
Maharashtra,Solapur,Oxygen,Notes: Deshpande,,Mspl,17.6599188,75.9063906,Solapur,['+919881454649']
Maharashtra,Solapur,Oxygen,Notes: Pappu seth,,Gujarat General Store,17.6599188,75.9063906,Solapur,['+919822072370']
