General Area (State),General Area (City),Services Offered,Description,Marked for Cleaning,Distributor Name,Location,Distributor Contact (Phone)
Bihar,Begusarai,Medicines,Medicine name: Tocilizumab,,Shree Balaji Pharmaceuticals,"Collegiate School Roadjagir Mohallabegusaraibihar,Begusarai,851101",['+916243248609']
Bihar,Begusarai,Oxygen,,,,Begusarai,['+919798990824']
Bihar,Begusarai,Oxygen,,,Amit Jaiswal,Begusarai,['+917004158804']
Bihar,Begusarai,Oxygen,,,Bala Ji Gases,"Owk, Park Road, Barauni Ioc Township,",['+916243244753']
Bihar,Begusarai,Oxygen,,,Sony Air Gases Pvt Ltd,Tilak Nagar,['+918068442283']
