General Area (State),General Area (City),Services Offered,Description,Marked for Cleaning,Distributor Name,Location,Distributor Contact (Phone)
Punjab,Chandigarh,Oxygen,,,,Chandigarh,['+919555913146']
Punjab,Chandigarh,Hospital Beds,,,Gian Sagar Medical College,Baddi (Near Chandigarh),['+919811955525']
Punjab,Chandigarh,Oxygen,"Notes: 12L, Dry Oxygen",,,"Panchkula, Sector 11, Chandigarh",['+916280056278']
Punjab,Chandigarh,Hospital Beds,,True,Vikram,,['+919899028906']
Punjab,Chandigarh,Oxygen,,,,"Near Elante Mall, Chandigarh",['+919888033650']
